Country,Year,DT.TDS.MLAT.PG.ZS,NY.ADJ.AEDU.CD,NY.ADJ.NNTY.PC.CD,NY.TTF.GNFS.KN,SL.EMP.MPYR.FE.ZS,SL.EMP.MPYR.ZS,SL.EMP.WORK.ZS,SL.TLF.0714.SW.MA.ZS,SL.TLF.0714.ZS,SL.WAG.0714.FE.ZS,SE.COM.DURS,SE.ENR.PRIM.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SE.PRM.UNER,SE.PRM.UNER.ZS,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SH.ALC.PCAP.LI,SH.DTH.INJR.ZS,SH.H2O.BASW.ZS,SH.STA.ANVC.ZS,SH.STA.BASS.ZS,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SP.DYN.CBRT.IN,SP.POP.DPND.OL,SL.EMP.MPYR.ZS,SL.EMP.WORK.ZS,SL.UEM.ADVN.ZS,SL.UEM.BASC.ZS
AFG,2000,100.0,338502672.678568,404.6013546769843,-13409757567.434143,0.0285774470912136,0.358246701835103,7.69023633397679,53.8317981608774,9.3,11.77,6.0,0.0,0.0,0.265920013189316,,,62.13647,26.69373,9.03217,0.003,8.17558808319085,27.4418560941262,36.9,20.9709193555198,9.44339085,17.00758553,49.664,4.7603142505270775,0.358246701835103,7.69023633397679,7.86,7.38
AFG,2001,100.0,338502672.678568,404.6013546769843,-13409757567.434143,0.0282463254297009,0.34099527215363,7.69102396499803,53.8317981608774,9.3,11.77,6.0,0.0,0.0,0.265920013189316,,,62.13647,26.69373,9.03217,0.003,8.461121672730345,27.4735802318339,29.966666666666665,20.9823486569015,9.44339085,17.00758553,48.979,4.77509788390734,0.34099527215363,7.69102396499803,7.86,7.38
AFG,2002,100.0,338502672.678568,404.6013546769843,-13409757567.434143,0.0308566370867004,0.366854457005739,7.85604913642417,53.8317981608774,9.3,11.77,6.0,0.456930011510849,0.1753800064325335,0.265920013189316,,,62.13647,26.69373,9.03217,0.007,8.74665526226984,29.6748627315109,23.03333333333333,22.5413387666176,9.44339085,17.00758553,48.201,4.791608909985508,0.366854457005739,7.85604913642417,7.86,7.38
AFG,2003,100.0,338502672.678568,404.6013546769843,-13409757567.434143,0.0344043391696507,0.393352568537683,8.03985743703987,53.8317981608774,9.3,11.77,6.0,0.562200009822845,0.350760012865067,0.265920013189316,,,62.13647,26.69373,9.03217,0.016,9.032188851809334,31.8755891610669,16.1,24.1003328260197,8.94125843,17.81492424,47.35,4.804548051446197,0.393352568537683,8.03985743703987,7.86,7.38
AFG,2004,100.0,338502672.678568,404.6013546769843,-13409757567.434143,0.0368534261283704,0.393815973441002,8.17036271543398,53.8317981608774,9.3,11.77,6.0,0.432819992303848,0.209610000252724,0.265989989042282,,,62.13647,26.69373,9.03217,0.021,9.31772244134883,34.0944312907889,20.833333333333336,25.6662399387279,9.80847359,21.42946434,46.33,4.806580158495537,0.393815973441002,8.17036271543398,7.86,7.38
AFG,2005,100.0,338502672.678568,404.6013546769843,-13409757567.434143,0.0410739836714081,0.406664698076382,8.33650429050686,53.8317981608774,9.3,11.77,6.0,0.583339989185333,0.3264200091362,0.2586619913578032,,,62.13647,26.69373,9.03217,0.027,9.603256030888325,36.3312261244574,25.56666666666667,27.2391887360031,9.94828892,25.10707283,45.263,4.78196430833589,0.406664698076382,8.33650429050686,7.86,7.38
AFG,2006,100.0,338502672.678568,404.6013546769843,-13409757567.434143,0.0459116936217396,0.424077175352879,8.5039132783025,53.8317981608774,9.3,11.77,6.0,0.623570024967194,0.36353999376297,0.2513339936733244,,,62.13647,26.69373,9.03217,0.025,9.88878962042782,38.5671193339185,30.3,28.8122662344939,10.62276554,28.91982269,44.721,4.750411084143858,0.424077175352879,8.5039132783025,7.86,7.38
AFG,2007,100.0,338502672.678568,404.6013546769843,-13409757567.434143,0.0528148351003482,0.459028643607561,8.72781283124371,53.8317981608774,9.3,11.77,6.0,0.613789975643158,0.375039994716644,0.2440059959888456,,,62.13647,26.69373,9.03217,0.03,10.174323209967316,41.0836738960922,33.15,30.4665336124326,9.90467453,32.71720505,43.858,4.803680825177613,0.459028643607561,8.72781283124371,7.86,7.38
AFG,2008,100.0,338502672.678568,404.6013546769843,-13409757567.434143,0.0585579404891425,0.488448300014883,8.90380616810044,53.8317981608774,9.3,11.77,9.0,0.636420011520386,0.425500005483627,0.2366779983043668,,,62.13647,26.69373,9.03217,0.025,10.45985679950681,43.6326087182233,36.0,32.128704614959,10.25649548,39.96989822,41.506,4.849388368248561,0.488448300014883,8.90380616810044,7.86,7.38
AFG,2009,76.63908996897621,338502672.678568,404.6013546769843,-13409757567.434143,0.0899227411189625,0.606451203569049,9.4091266548344,53.8317981608774,9.3,11.77,9.0,0.657500028610229,0.481350004673004,0.229350000619888,,,62.13647,26.69373,9.03217,0.023,10.745390389046305,46.2137626459091,47.8,33.7989577403427,9.81848717,43.26076889,41.157,4.830453701319561,0.606451203569049,9.4091266548344,7.86,7.38
