Country,Year,GC.XPN.COMP.ZS,NY.ADJ.AEDU.CD,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SH.H2O.SMDW.ZS,SL.UEM.ADVN.ZS,SP.POP.DPND.OL,SP.POP.DPND.YG,Cluster
ABW,2000,28.33264294594551,75726749.5013877,97.0713577270508,97.5373992919922,67.31455981363356,6.705022136331512,9.909185887647672,33.30547295668247,1
ABW,2001,28.33264294594551,86352175.504874,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,10.217942858943852,32.69930819294956,1
ABW,2002,28.33264294594551,85887084.3380439,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,10.598497924149834,32.11581222496929,1
ABW,2003,28.33264294594551,100143063.816809,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,10.970755920274154,31.48617706268345,1
ABW,2004,28.33264294594551,116820377.091318,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,11.364258139040034,30.806760494877956,1
ABW,2005,28.33264294594551,106927002.786302,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,11.775678440339371,30.35682050664902,1
ABW,2006,28.33264294594551,118376478.140783,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,12.163913425588012,30.248908882367836,1
ABW,2007,28.33264294594551,99287625.6983242,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,12.536327024355703,30.246212400607785,1
ABW,2008,28.33264294594551,123504502.793296,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,12.92462340926026,30.254372251362447,1
ABW,2009,28.33264294594551,136306776.536313,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,13.349830685074238,30.223437816561027,1
ABW,2010,28.33264294594551,152222234.636871,96.7197799682617,96.9405288696289,67.31455981363356,6.705022136331512,13.798136779289916,29.79292777515419,0
ABW,2011,28.33264294594551,138015821.22905,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,14.299859957845898,28.978823928818976,1
ABW,2012,28.33264294594551,171263403.583505,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,14.891708137660334,28.2526109203056,1
ABW,2013,28.33264294594551,175759623.644738,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,15.554627115103406,27.722303460761783,0
ABW,2014,28.33264294594551,163312826.486939,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,16.27913425675582,27.35604453503043,0
ABW,2015,28.33264294594551,174477003.10819,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,17.0831892676855,27.107392296521677,0
ABW,2016,28.33264294594551,163850845.134458,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,17.964692231185765,26.90490661951597,0
ABW,2017,28.33264294594551,168054043.970204,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,18.90440090034108,26.695389204192388,0
ABW,2018,28.33264294594551,171842707.140957,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,19.9201591292096,26.448324446777356,0
ABW,2019,28.33264294594551,184967216.19328,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,20.9963920874746,26.14285121853444,0
ABW,2020,28.33264294594551,146213324.962984,98.0,97.9700012207031,67.31455981363356,6.705022136331512,22.060107245292432,25.62525113965443,0
ABW,2021,28.33264294594551,174471453.093207,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,22.97447280799112,24.830743618201996,0
ABW,2022,28.33264294594551,13939733330.832481,75.20600496011687,84.45580889242832,67.31455981363356,6.705022136331512,23.872177839527613,24.01806182702327,0
AFE,2000,28.33264294594551,13939733330.832481,54.9210586547852,70.7704925537109,67.31455981363356,6.705022136331512,5.462842276214146,85.76893056165065,2
AFE,2001,28.33264294594551,13939733330.832481,56.0166702270508,71.3914413452148,67.31455981363356,6.705022136331512,5.445348067384915,85.04793355428696,2
AFE,2002,28.33264294594551,13939733330.832481,55.3688011169434,72.8219223022461,67.31455981363356,6.705022136331512,5.4277401436575605,84.34258320039143,2
AFE,2003,28.33264294594551,13939733330.832481,56.059268951416,73.2292098999023,67.31455981363356,6.705022136331512,5.409491900605463,83.69334483274953,2
AFE,2004,28.33264294594551,13939733330.832481,57.3186798095703,74.5489501953125,67.31455981363356,6.705022136331512,5.393491805909297,83.09715094138065,2
AFE,2005,28.33264294594551,13939733330.832481,55.9393615722656,72.4775695800781,67.31455981363356,6.705022136331512,5.383261261923345,82.5817085786381,2
AFE,2006,28.33264294594551,13939733330.832481,54.014030456543,70.7482528686523,67.31455981363356,6.705022136331512,5.375327851044632,82.12385217939861,2
AFE,2007,28.33264294594551,13939733330.832481,55.0689888000488,71.1080474853516,67.31455981363356,6.705022136331512,5.368210353493373,81.70542241793925,2
AFE,2008,28.33264294594551,13939733330.832481,55.5635795593262,71.4521102905273,67.31455981363356,6.705022136331512,5.362260337250637,81.33814486548039,2
AFE,2009,36.68710898913402,13939733330.832481,56.439510345459,72.0353012084961,67.31455981363356,6.705022136331512,5.363426612563202,80.99046997218778,2
AFE,2010,41.35295883940152,13939733330.832481,57.1015014648438,72.5764236450195,67.31455981363356,6.705022136331512,5.378026919681667,80.60920519373792,2
AFE,2011,40.58921338653472,13939733330.832481,59.7411193847656,74.2978668212891,67.31455981363356,6.705022136331512,5.404896555664811,80.19247528205209,2
AFE,2012,40.84713441255172,13939733330.832481,61.5093116760254,75.6544723510742,67.31455981363356,6.705022136331512,5.43879946635491,79.77784728724674,2
